"filename", "language", "TypeScript", "TypeScript JSX", "JavaScript", "PostCSS", "JSON", "comment", "blank", "total"
"c:\Users\arya.khadgi\Documents\PROD\NexS-Ascend\src\app\packing-dispatch\upload\page.tsx", "TypeScript JSX", 0, 74, 0, 0, 0, 0, 9, 83
"c:\Users\arya.khadgi\Documents\PROD\NexS-Ascend\src\app\packing\page.tsx", "TypeScript JSX", 0, 150, 0, 0, 0, 10, 16, 176
"c:\Users\arya.khadgi\Documents\PROD\NexS-Ascend\src\app\page.tsx", "TypeScript JSX", 0, 23, 0, 0, 0, 1, 2, 26
"c:\Users\arya.khadgi\Documents\PROD\NexS-Ascend\src\app\upload\page.tsx", "TypeScript JSX", 0, 13, 0, 0, 0, 1, 3, 17
"c:\Users\arya.khadgi\Documents\PROD\NexS-Ascend\src\components\DarkModeToggle.tsx", "TypeScript JSX", 0, 17, 0, 0, 0, 1, 2, 20
"c:\Users\arya.khadgi\Documents\PROD\NexS-Ascend\src\components\ExcelUploadForm.tsx", "TypeScript JSX", 0, 46, 0, 0, 0, 1, 6, 53
"c:\Users\arya.khadgi\Documents\PROD\NexS-Ascend\src\components\Header.tsx", "TypeScript JSX", 0, 12, 0, 0, 0, 0, 0, 12
"c:\Users\arya.khadgi\Documents\PROD\NexS-Ascend\src\components\Sidebar.tsx", "TypeScript JSX", 0, 141, 0, 0, 0, 0, 18, 159
"c:\Users\arya.khadgi\Documents\PROD\NexS-Ascend\src\generated\onSiteClient\client.d.ts", "TypeScript", 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\arya.khadgi\Documents\PROD\NexS-Ascend\src\generated\onSiteClient\client.js", "JavaScript", 0, 0, 1, 0, 0, 2, 1, 4
"c:\Users\arya.khadgi\Documents\PROD\NexS-Ascend\src\generated\onSiteClient\default.d.ts", "TypeScript", 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\arya.khadgi\Documents\PROD\NexS-Ascend\src\generated\onSiteClient\default.js", "JavaScript", 0, 0, 1, 0, 0, 2, 1, 4
"c:\Users\arya.khadgi\Documents\PROD\NexS-Ascend\src\generated\onSiteClient\edge.d.ts", "TypeScript", 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\arya.khadgi\Documents\PROD\NexS-Ascend\src\generated\onSiteClient\edge.js", "JavaScript", 0, 0, 140, 0, 0, 21, 28, 189
"c:\Users\arya.khadgi\Documents\PROD\NexS-Ascend\src\generated\onSiteClient\index-browser.js", "JavaScript", 0, 0, 127, 0, 0, 21, 27, 175
"c:\Users\arya.khadgi\Documents\PROD\NexS-Ascend\src\generated\onSiteClient\index.d.ts", "TypeScript", 1084, 0, 0, 0, 0, 845, 258, 2187
"c:\Users\arya.khadgi\Documents\PROD\NexS-Ascend\src\generated\onSiteClient\index.js", "JavaScript", 0, 0, 154, 0, 0, 23, 33, 210
"c:\Users\arya.khadgi\Documents\PROD\NexS-Ascend\src\generated\onSiteClient\package.json", "JSON", 0, 0, 0, 0, 140, 0, 0, 140
"c:\Users\arya.khadgi\Documents\PROD\NexS-Ascend\src\generated\onSiteClient\runtime\edge-esm.js", "JavaScript", 0, 0, 26, 0, 0, 2, 7, 35
"c:\Users\arya.khadgi\Documents\PROD\NexS-Ascend\src\generated\onSiteClient\runtime\edge.js", "JavaScript", 0, 0, 26, 0, 0, 2, 7, 35
"c:\Users\arya.khadgi\Documents\PROD\NexS-Ascend\src\generated\onSiteClient\runtime\index-browser.d.ts", "TypeScript", 264, 0, 0, 0, 0, 20, 87, 371
"c:\Users\arya.khadgi\Documents\PROD\NexS-Ascend\src\generated\onSiteClient\runtime\index-browser.js", "JavaScript", 0, 0, 1, 0, 0, 14, 2, 17
"c:\Users\arya.khadgi\Documents\PROD\NexS-Ascend\src\generated\onSiteClient\runtime\library.d.ts", "TypeScript", 2343, 0, 0, 0, 0, 846, 459, 3648
"c:\Users\arya.khadgi\Documents\PROD\NexS-Ascend\src\generated\onSiteClient\runtime\library.js", "JavaScript", 0, 0, 116, 0, 0, 2, 29, 147
"c:\Users\arya.khadgi\Documents\PROD\NexS-Ascend\src\generated\onSiteClient\runtime\react-native.js", "JavaScript", 0, 0, 67, 0, 0, 2, 15, 84
"c:\Users\arya.khadgi\Documents\PROD\NexS-Ascend\src\generated\onSiteClient\runtime\wasm.js", "JavaScript", 0, 0, 27, 0, 0, 2, 7, 36
"c:\Users\arya.khadgi\Documents\PROD\NexS-Ascend\src\generated\onSiteClient\wasm.d.ts", "TypeScript", 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\arya.khadgi\Documents\PROD\NexS-Ascend\src\generated\onSiteClient\wasm.js", "JavaScript", 0, 0, 127, 0, 0, 21, 27, 175
"c:\Users\arya.khadgi\Documents\PROD\NexS-Ascend\src\generated\prisma\client.d.ts", "TypeScript", 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\arya.khadgi\Documents\PROD\NexS-Ascend\src\generated\prisma\client.js", "JavaScript", 0, 0, 1, 0, 0, 2, 1, 4
"c:\Users\arya.khadgi\Documents\PROD\NexS-Ascend\src\generated\prisma\default.d.ts", "TypeScript", 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\arya.khadgi\Documents\PROD\NexS-Ascend\src\generated\prisma\default.js", "JavaScript", 0, 0, 1, 0, 0, 2, 1, 4
"c:\Users\arya.khadgi\Documents\PROD\NexS-Ascend\src\generated\prisma\edge.d.ts", "TypeScript", 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\arya.khadgi\Documents\PROD\NexS-Ascend\src\generated\prisma\edge.js", "JavaScript", 0, 0, 124, 0, 0, 21, 26, 171
"c:\Users\arya.khadgi\Documents\PROD\NexS-Ascend\src\generated\prisma\index-browser.js", "JavaScript", 0, 0, 112, 0, 0, 21, 25, 158
"c:\Users\arya.khadgi\Documents\PROD\NexS-Ascend\src\generated\prisma\index.d.ts", "TypeScript", 381, 0, 0, 0, 0, 296, 141, 818
"c:\Users\arya.khadgi\Documents\PROD\NexS-Ascend\src\generated\prisma\index.js", "JavaScript", 0, 0, 138, 0, 0, 23, 31, 192
"c:\Users\arya.khadgi\Documents\PROD\NexS-Ascend\src\generated\prisma\package.json", "JSON", 0, 0, 0, 0, 140, 0, 0, 140
"c:\Users\arya.khadgi\Documents\PROD\NexS-Ascend\src\generated\prisma\runtime\edge-esm.js", "JavaScript", 0, 0, 26, 0, 0, 2, 7, 35
"c:\Users\arya.khadgi\Documents\PROD\NexS-Ascend\src\generated\prisma\runtime\edge.js", "JavaScript", 0, 0, 26, 0, 0, 2, 7, 35
